year,GDP (current US$)
1960,59716249311
1961,50056685957
1962,47209186415
1963,50706614526
1964,59708125204
1965,70436008642
1966,76720005492
1967,72881364882
1968,70846276051
1969,79705614855
1970,92602634892
1971,99800593791
1972,1.13689E+11
1973,1.38543E+11
1974,1.44189E+11
1975,1.6343E+11
1976,1.53939E+11
1977,1.74936E+11
1978,1.49541E+11
1979,1.78281E+11
1980,1.91149E+11
1981,1.95866E+11
1982,2.0509E+11
1983,2.30687E+11
1984,2.59947E+11
1985,3.09488E+11
1986,3.00758E+11
1987,2.72973E+11
1988,3.12354E+11
1989,3.47768E+11
1990,3.60858E+11
1991,3.83373E+11
1992,4.26916E+11
1993,4.44731E+11
1994,5.64322E+11
1995,7.34485E+11
1996,8.63749E+11
1997,9.61602E+11
1998,1.02906E+12
1999,1.094E+12
2000,1.21133E+12
2001,1.3394E+12
2002,1.47056E+12
2003,1.66028E+12
2004,1.95535E+12
2005,2.28596E+12
2006,2.75212E+12
2007,3.55033E+12
2008,4.59434E+12
2009,5.10169E+12
2010,6.08719E+12
2011,7.55155E+12
2012,8.53219E+12
2013,9.57047E+12
2014,1.04756E+13
2015,1.10616E+13
2016,1.12333E+13
2017,1.23105E+13
2018,1.38949E+13
2019,1.428E+13
2020,1.46877E+13
2021,1.78205E+13
2022,1.78818E+13
2023,1.77948E+13
