year,General government final consumption expenditure (% of GDP)
1960,12.44084207
1961,14.29842363
1962,12.68885257
1963,13.53493534
1964,12.68448891
1965,11.78732184
1966,12.08921062
1967,10.90604918
1968,11.12674784
1969,11.73921988
1970,10.96178313
1971,11.84430263
1972,12.00986517
1973,11.47924062
1974,12.04893315
1975,11.70396854
1976,12.67182894
1977,12.53929493
1978,12.89906859
1979,13.77944373
1980,13.75004254
1981,13.18256175
1982,13.20821892
1983,13.9557469
1984,15.07313199
1985,14.21394889
1986,13.85198257
1987,13.10862977
1988,12.49787459
1989,13.18826217
1990,13.65652116
1991,14.00163365
1992,14.44066306
1993,14.35274033
1994,14.09123646
1995,13.3081123
1996,13.19822745
1997,13.75263695
1998,14.94601068
1999,16.36569096
2000,16.83842985
2001,16.41343935
2002,16.07042441
2003,15.31420932
2004,14.62534231
2005,14.79766254
2006,14.82051595
2007,14.62676193
2008,14.48561439
2009,14.75297613
2010,14.58702058
2011,15.23886494
2012,15.75607839
2013,15.88401589
2014,15.81704465
2015,16.21788677
2016,16.36375556
2017,16.32486222
2018,16.53580834
2019,16.77051091
2020,17.13013339
2021,15.8081384
2022,16.05012775
2023,16.50931118
