Country Name,´óº«Ãñ¹ú
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,25.54352993
1977,28.55010452
1978,31.5866505
1979,30.65700892
1980,25.10306565
1981,24.51807631
1982,26.42051352
1983,30.08424665
1984,32.09500985
1985,32.04072762
1986,35.42204876
1987,39.17007406
1988,41.41735711
1989,38.71988423
1990,39.02619244
1991,39.03767405
1992,38.13350428
1993,38.19792218
1994,37.89659797
1995,37.6826403
1996,35.9658109
1997,35.91391946
1998,37.72344712
1999,35.37572139
2000,33.8935814
2001,31.93763718
2002,31.45440086
2003,32.98186327
2004,35.46226062
2005,33.76562363
2006,32.89055346
2007,33.45347261
2008,33.32190514
2009,33.28145476
2010,35.04450744
2011,34.67131668
2012,34.66378694
2013,34.84908939
2014,34.98708153
2015,36.34866468
2016,36.78522554
2017,37.01406395
2018,35.85512285
2019,34.78038233
2020,36.22874636
2021,36.75142807
2022,34.4485036
2023,33.77129454
,
