Country Name,¶íÂÞË¹Áª°î
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,
1993,
1994,29.57601975
1995,28.02270887
1996,27.1159226
1997,21.9453568
1998,19.32350814
1999,28.24599055
2000,36.15420756
2001,32.51291864
2002,28.77477622
2003,28.26623856
2004,30.26043974
2005,30.54657682
2006,30.6608765
2007,31.26685469
2008,30.06388191
2009,20.87620437
2010,26.28371431
2011,28.75756431
2012,27.24417135
2013,24.28209584
2014,24.51218082
2015,26.36670954
2016,25.01341229
2017,25.66868514
2018,28.9492685
2019,26.53727988
2020,25.76849815
2021,30.33860688
2022,31.80788683
2023,29.93287917
,
