year,GDP per capita (current US$), 
1960,89.52021424,
1961,75.80556079,
1962,70.90915243,
1963,74.31337177,
1964,85.49824259,
1965,98.4864177,
1966,104.3241848,
1967,96.58917883,
1968,91.4723839,
1969,100.1295372,
1970,113.1625778,
1971,118.654144,
1972,131.8855585,
1973,157.0891109,
1974,160.1476879,
1975,178.3396141,
1976,165.4042624,
1977,185.4205374,
1978,156.3963885,
1979,183.9831522,
1980,194.8047222,
1981,197.0714745,
1982,203.3349195,
1983,225.4319289,
1984,250.713969,
1985,294.4588485,
1986,281.9281209,
1987,251.811957,
1988,283.5376952,
1989,310.8819124,
1990,317.884673,
1991,333.1421454,
1992,366.4606923,
1993,377.3898395,
1994,473.4899164,
1995,609.6043379,
1996,709.4158882,
1997,781.7425612,
1998,828.594691,
1999,873.2923363,
2000,959.3604314,
2001,1053.112314,
2002,1148.514257,
2003,1288.637491,
2004,1508.667916,
2005,1753.414192,
2006,2099.21943,
2007,2693.958732,
2008,3468.327063,
2009,3832.227457,
2010,4550.473944,
2011,5614.386022,
2012,6300.58218,
2013,7020.386074,
2014,7636.07434,
2015,8016.445595,
2016,8094.390167,
2017,8817.045608,
2018,9905.406383,
2019,10143.86022,
2020,10408.71955,
2021,12617.5051,
2022,12662.58267,
2023,12614.06174,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
