year,Commercial Housing Construction Area (thousand m^2)
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,
1993,
1994,
1995,170611.4
1996,134059.979
1997,140269.8
1998,203879
1999,225794.1
2000,295826.411
2001,373941.765
2002,428005.187
2003,547075.321
2004,622210.052
2005,680644.382
2006,792528.306
2007,954015.347
2008,1025533.724
2009,1164220.516
2010,1636468.685
2011,1912368.682
2012,1773336.174
2013,2012078.421
2014,1795924.926
2015,1544536.757
2016,1669281.283
2017,1786537.704
2018,2095371.598
2019,2271535.829
2020,2244331.331
2021,1988950.471
2022,1198680
2023,953755.285
2024,738928.408
