Indicator Name,Commercial Housing Price Growth Rate (%)
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,
1993,
1994,
1995,
1996,
1997,
1998,
1999,
2000,
2001,
2002,
2003,
2004,
2005,
2006,
2007,
2008,
2009,
2010,
2011,4.334881
2012,-0.75095238
2013,6.240119
2014,2.7929762
2015,-3.9675
2016,6.3854762
2017,8.4809524
2018,7.2559524
2019,9.7028571
2020,4.8872619
2021,3.6364286
2022,-0.98559524
2023,-0.91464286
2024,-4.46380952
