year,Commercial Housing Price Growth Rate: 2nd Tier (%)
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,
1993,
1994,
1995,
1996,
1997,
1998,
1999,
2000,
2001,
2002,
2003,
2004,
2005,
2006,
2007,
2008,
2009,
2010,
2011,4.5293011
2012,-0.62634409
2013,6.7967742
2014,3.2018817
2015,-3.72607527
2016,8.3435484
2017,9.0534946
2018,7.5241935
2019,10.4422043
2020,5.2266129
2021,4.275
2022,0.0857527
2023,0.0341398
2024,-3.96370968
