year,Commercial Housing Price Growth Rate: 3rd Tier (%)
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,
1993,
1994,
1995,
1996,
1997,
1998,
1999,
2000,
2001,
2002,
2003,
2004,
2005,
2006,
2007,
2008,
2009,
2010,
2011,4.2409524
2012,-0.85666667
2013,4.7319048
2014,2.012619
2015,-5.36261905
2016,1.9740476
2017,7.7933333
2018,7.7988095
2019,9.6607143
2020,4.7345238
2021,2.8830952
2022,-2.4297619
2023,-1.98690476
2024,-5.05119048
