year,revenue
1980,1159.93
1981,1175.79
1982,1212.33
1983,1366.95
1984,1642.86
1985,2004.82
1986,2122.01
1987,2199.35
1988,2357.24
1989,2664.9
1990,2937.1
1991,3149.48
1992,3483.37
1993,4348.95
1994,5218.1
1995,6242.2
1996,7407.99
1997,8651.14
1998,9875.95
1999,11444.08
2000,13395.23
2001,16386.04
2002,18903.64
2003,21715.25
2004,26396.47
2005,31649.29
2006,38760.2
2007,51321.78
2008,61330.35
2009,68518.3
2010,83101.51
2011,103874.43
2012,117253.52
2013,129209.64
2014,140370.03
2015,152269.23
2016,159604.97
2017,172592.77
2018,183359.84
2019,190390.08
2020,182913.88
2021,202554.64
2022,203649.29
2023,216795.43
